,Name,Address,Coordinates,Name + Address,second_best_match,second_best_score
36,Enterprise Rent-A-Car,"5919 Broadway Avenue J, Galveston","{'lat': 29.2881934, 'lng': -94.8350507}","Enterprise Rent-A-Car5919 Broadway Avenue J, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
37,Cars and Carts Galveston,"2402 Seawall Boulevard, Galveston","{'lat': 29.2890817, 'lng': -94.7897034}","Cars and Carts Galveston2402 Seawall Boulevard, Galveston","UTMB 17E113-191 11th Street, Galveston",86
38,Galveston Convertible Rentals,"2121 Market Street # 211, Galveston","{'lat': 29.3055877, 'lng': -94.7921841}","Galveston Convertible Rentals2121 Market Street # 211, Galveston","Parking utmb365-379 11th Street, Galveston",86
39,Rosenberg Library,"2310 Sealy Avenue, Galveston","{'lat': 29.3011526, 'lng': -94.79298949999999}","Rosenberg Library2310 Sealy Avenue, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
40,Ocean Star Offshore Drilling Rig and Museum,"2002 Wharf Road, Galveston","{'lat': 29.3104255, 'lng': -94.7917377}","Ocean Star Offshore Drilling Rig and Museum2002 Wharf Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
41,Galveston Railroad Museum,"2602 Santa Fe Place, Galveston","{'lat': 29.3061047, 'lng': -94.7985082}","Galveston Railroad Museum2602 Santa Fe Place, Galveston","Galveston Railroad Msm the Center2602 Santa Fe Place, Galveston",88
42,Galveston Historic Seaport - Home of the 1877 Tall Ship ELISSA,"Pier 22 Suite, 8, Galveston","{'lat': 29.3090547, 'lng': -94.7933003}","Galveston Historic Seaport - Home of the 1877 Tall Ship ELISSAPier 22 Suite, 8, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
43,Central Cultural Center,"2627 Avenue M, Galveston","{'lat': 29.2961096, 'lng': -94.7953872}","Central Cultural Center2627 Avenue M, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
44,Discovery Pyramid,Galveston,"{'lat': 29.2757148, 'lng': -94.85376509999999}",Discovery PyramidGalveston,"Discovery Bayhouse21820 Deaf Smith Drive, Galveston",86
45,Galveston Children's Museum,"2618 Broadway Avenue J, Galveston","{'lat': 29.2993997, 'lng': -94.7962228}","Galveston Children's Museum2618 Broadway Avenue J, Galveston","UTMB 17E113-191 11th Street, Galveston",86
46,Segcity Segway Galveston Tours,"519 25th Street, Galveston","{'lat': 29.303251, 'lng': -94.79588}","Segcity Segway Galveston Tours519 25th Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
47,The Bryan Museum,"1315 21st Street, Galveston","{'lat': 29.2974184, 'lng': -94.7890034}","The Bryan Museum1315 21st Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
48,Galveston County Historical Museum,"722 Moody Avenue, Galveston","{'lat': 29.3035162, 'lng': -94.7890341}","Galveston County Historical Museum722 Moody Avenue, Galveston","UTMB 17E113-191 11th Street, Galveston",86
49,Moody Mansion,"2618 Broadway Avenue J, Galveston","{'lat': 29.2995337, 'lng': -94.79627669999999}","Moody Mansion2618 Broadway Avenue J, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
50,Menard House,"1605 33rd Street, Galveston","{'lat': 29.2914014, 'lng': -94.8020822}","Menard House1605 33rd Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
51,Kindness Project Murals,"22nd &, Avenue East, Galveston","{'lat': 29.2967318, 'lng': -94.8234384}","Kindness Project Murals22nd &, Avenue East, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
52,African-American Museum,"3427 Sealy Avenue, Galveston","{'lat': 29.2973585, 'lng': -94.80596249999999}","African-American Museum3427 Sealy Avenue, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
53,JC League House,"Broadway Avenue J, Galveston","{'lat': 29.2972963, 'lng': -94.802972}","JC League HouseBroadway Avenue J, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
54,Kempner Park Monument,"3510-0040-1000, 001, Galveston","{'lat': 29.2937221, 'lng': -94.795386}","Kempner Park Monument3510-0040-1000, 001, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
55,Castillo. Bishop,Galveston,"{'lat': 29.3013582, 'lng': -94.7977277}",Castillo. BishopGalveston,CitgoGalveston,71
56,World War II Memorial Monument,"23rd St &, Broadway Avenue J, Galveston","{'lat': 29.3001509, 'lng': -94.79182540000001}","World War II Memorial Monument23rd St &, Broadway Avenue J, Galveston","Parking utmb365-379 11th Street, Galveston",86
57,Old Santa Fe Union Station,"123 Rosenberg Street, Galveston","{'lat': 29.3065492, 'lng': -94.79703719999999}","Old Santa Fe Union Station123 Rosenberg Street, Galveston","UTMB 17E113-191 11th Street, Galveston",86
58,Texas Seaport Museum,"2200 Wharf Road, Galveston","{'lat': 29.3091077, 'lng': -94.7934847}","Texas Seaport Museum2200 Wharf Road, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
59,Galveston Trolley Station,"413-499 20th Street, Galveston","{'lat': 29.3059102, 'lng': -94.79019939999999}","Galveston Trolley Station413-499 20th Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
60,Galveston Unscripted Podcast | Audio Tour,"100 20th Street, Galveston","{'lat': 29.3087443, 'lng': -94.7908921}","Galveston Unscripted Podcast | Audio Tour100 20th Street, Galveston","Parking utmb365-379 11th Street, Galveston",86
61,Galveston Naval Museum,"100 Seawolf Park Boulevard, Galveston","{'lat': 29.3344846, 'lng': -94.7794048}","Galveston Naval Museum100 Seawolf Park Boulevard, Galveston","UTMB 17E113-191 11th Street, Galveston",86
62,East Beach,"1837 East Beach Street, Galveston","{'lat': 29.3212194, 'lng': -94.74760479999999}","East Beach1837 East Beach Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
64,"The San Luis Resort, Spa and Conference Center","5222 Seawall Boulevard, Galveston","{'lat': 29.2725405, 'lng': -94.8182391}","The San Luis Resort, Spa and Conference Center5222 Seawall Boulevard, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
65,B. Jiggers Lounge,"5002 Seawall Boulevard, Galveston","{'lat': 29.27250129999999, 'lng': -94.81666829999999}","B. Jiggers Lounge5002 Seawall Boulevard, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
66,Carlos Cabeza Cigar Shop,"318 27th Street, Galveston","{'lat': 29.3044979, 'lng': -94.7984292}","Carlos Cabeza Cigar Shop318 27th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
67,23rd Street Station Piano Bar,"1706 23rd Street, Galveston","{'lat': 29.29370280000001, 'lng': -94.7894671}","23rd Street Station Piano Bar1706 23rd Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
68,Sound Bar,"2411 Mechanic Street, Galveston","{'lat': 29.3056645, 'lng': -94.7955784}","Sound Bar2411 Mechanic Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
69,Murphy's Pub,"213-215 22nd Street, Galveston","{'lat': 29.3067907, 'lng': -94.7932415}","Murphy's Pub213-215 22nd Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
70,Buckshot Saloon,"2409 Market Street, Galveston","{'lat': 29.3047222, 'lng': -94.7952778}","Buckshot Saloon2409 Market Street, Galveston","Bucks Bar2409 Market Street, Galveston",88
71,Island Pier Club,"1702 Avenue O, Galveston","{'lat': 29.29581310000001, 'lng': -94.78322290000001}","Island Pier Club1702 Avenue O, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
72,"Galveston Island Cigar Lounge, LLC","1813 61st Street, Galveston","{'lat': 29.2804928, 'lng': -94.8340441}","Galveston Island Cigar Lounge, LLC1813 61st Street, Galveston","UTMB 17E113-191 11th Street, Galveston",86
73,"Island Spot hookah Bar , Food & smoke shop (Halal)","1017 61st Street, Galveston","{'lat': 29.28729819999999, 'lng': -94.83770000000001}","Island Spot hookah Bar , Food & smoke shop (Halal)1017 61st Street, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
74,Kemistry,"4927 Broadway Avenue J, Galveston","{'lat': 29.2917306, 'lng': -94.8226876}","Kemistry4927 Broadway Avenue J, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
75,Tea'ze Daiquiris To Go,"4110 Seawall Boulevard, Galveston","{'lat': 29.2778682, 'lng': -94.80721539999999}","Tea'ze Daiquiris To Go4110 Seawall Boulevard, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
76,Isla Bonita,"4102 Broadway Avenue J, Galveston","{'lat': 29.2948926, 'lng': -94.81292669999999}","Isla Bonita4102 Broadway Avenue J, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
77,Rumors Bar,"3102 Seawall Boulevard, Galveston","{'lat': 29.2842203, 'lng': -94.7971187}","Rumors Bar3102 Seawall Boulevard, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
78,Maze,"201 26th Street Suite 1, Galveston","{'lat': 29.3055559, 'lng': -94.7979105}","Maze201 26th Street Suite 1, Galveston","Mob Bar201 26th Street Suite 2, Galveston",89
79,Bucks Bar,"2409 Market Street, Galveston","{'lat': 29.304828, 'lng': -94.795262}","Bucks Bar2409 Market Street, Galveston","Buckshot Saloon2409 Market Street, Galveston",88
80,Diana’s Bartique,"2425 The Strand Suite 100, Galveston","{'lat': 29.30651049999999, 'lng': -94.796433}","Diana’s Bartique2425 The Strand Suite 100, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
81,Envy Dance Club,"2413 The Strand Suite A, Galveston","{'lat': 29.30645530000001, 'lng': -94.7960169}","Envy Dance Club2413 The Strand Suite A, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
82,The Rooftop Bar,"2300 Ship Mechanic Row Street, Galveston","{'lat': 29.3062164, 'lng': -94.7948095}","The Rooftop Bar2300 Ship Mechanic Row Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
83,O'Malley's Stage Door,"2022 Postoffice Street, Galveston","{'lat': 29.3053236, 'lng': -94.7909854}","O'Malley's Stage Door2022 Postoffice Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
84,Old Cellar Bar,"2013 Postoffice Street, Galveston","{'lat': 29.3052711, 'lng': -94.79055849999999}","Old Cellar Bar2013 Postoffice Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
85,"Moody Gardens Hotel, Spa and Convention Center","7 Hope Boulevard, Galveston","{'lat': 29.2734603, 'lng': -94.85032249999999}","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston","Parking utmb365-379 11th Street, Galveston",86
86,LuLu's The Salon & Spa,"5205 Avenue U, Galveston","{'lat': 29.2742473, 'lng': -94.81987319999999}","LuLu's The Salon & Spa5205 Avenue U, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
87,"Total Balance Health & Wellness By Tonie Wingate, LMT","2829 North Sonny Lane, Galveston","{'lat': 29.2372637, 'lng': -94.9055355}","Total Balance Health & Wellness By Tonie Wingate, LMT2829 North Sonny Lane, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
88,"Kristin White, LMT","1015 26th Street, Galveston","{'lat': 29.2985115, 'lng': -94.79550619999999}","Kristin White, LMT1015 26th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
89,La Moda Salon & Day Spa,"523 24th Street #201, Galveston","{'lat': 29.3036319, 'lng': -94.7945357}","La Moda Salon & Day Spa523 24th Street #201, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
90,Atmosphere the salon and beyond,"1221 23rd Street, Galveston","{'lat': 29.2976693, 'lng': -94.79133449999999}","Atmosphere the salon and beyond1221 23rd Street, Galveston","UTMB 17E113-191 11th Street, Galveston",86
91,Therapeutic Health Works,"2114 Sealy Avenue, Galveston","{'lat': 29.3016945, 'lng': -94.790623}","Therapeutic Health Works2114 Sealy Avenue, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
92,Mind-Bodyworkers,"4920 Seawall Boulevard, Galveston","{'lat': 29.2732011, 'lng': -94.81599849999999}","Mind-Bodyworkers4920 Seawall Boulevard, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
93,Tantalize Tanning Spa,"2218 61st Street, Galveston","{'lat': 29.27681369999999, 'lng': -94.83145739999999}","Tantalize Tanning Spa2218 61st Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
94,Galveston Holistic Wellness,"3622 85th Street Suite 101, Galveston","{'lat': 29.2553335, 'lng': -94.84937750000002}","Galveston Holistic Wellness3622 85th Street Suite 101, Galveston","Parking utmb365-379 11th Street, Galveston",86
95,Premiere Discreet Aesthetics,"7820 Seawall Boulevard, Galveston","{'lat': 29.2579455, 'lng': -94.84344730000001}","Premiere Discreet Aesthetics7820 Seawall Boulevard, Galveston","UTMB 17E113-191 11th Street, Galveston",86
96,Touch of Thai,"6618 Stewart Road, Galveston","{'lat': 29.2736189, 'lng': -94.8367796}","Touch of Thai6618 Stewart Road, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
97,Galveston Massage,"2115 61st Street #107, Galveston","{'lat': 29.2772877, 'lng': -94.8325366}","Galveston Massage2115 61st Street #107, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
98,Studio 3 Salon and Spa,"1021 61st Street Suite 200A, Galveston","{'lat': 29.28702989999999, 'lng': -94.8376015}","Studio 3 Salon and Spa1021 61st Street Suite 200A, Galveston","UTMB 17E113-191 11th Street, Galveston",86
99,So Vein IV Therapy,"2910 53rd Street, Galveston","{'lat': 29.2741647, 'lng': -94.8201903}","So Vein IV Therapy2910 53rd Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
102,Mind-Body Wellness co-op,"4920 D Seawall Boulevard, Galveston","{'lat': 29.2732011, 'lng': -94.81599849999999}","Mind-Body Wellness co-op4920 D Seawall Boulevard, Galveston","UTMB 17E113-191 11th Street, Galveston",86
103,loonol MASSAGE,"4631 Fort Crockett Boulevard, Galveston","{'lat': 29.2762274, 'lng': -94.81318309999999}","loonol MASSAGE4631 Fort Crockett Boulevard, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
104,Heavenly Touch Beauty and Wellness Spa,"2002 45th Street, Galveston","{'lat': 29.2845508, 'lng': -94.8139963}","Heavenly Touch Beauty and Wellness Spa2002 45th Street, Galveston","Parking utmb365-379 11th Street, Galveston",86
105,"Billy Davis, LMT","1721 23rd Street, Galveston","{'lat': 29.2931761, 'lng': -94.7898235}","Billy Davis, LMT1721 23rd Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
106,Island Body Works @ Atmosphere,"1221 23rd Street, Galveston","{'lat': 29.2975132, 'lng': -94.7913694}","Island Body Works @ Atmosphere1221 23rd Street, Galveston","UTMB 17E113-191 11th Street, Galveston",86
107,Footy Rooty Galveston,"2417 Market Street, Galveston","{'lat': 29.304727, 'lng': -94.79555889999999}","Footy Rooty Galveston2417 Market Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
108,Wellness Spa Massage Galveston,"2417 Market Street, Galveston","{'lat': 29.304727, 'lng': -94.79555889999999}","Wellness Spa Massage Galveston2417 Market Street, Galveston","UTMB 17E113-191 11th Street, Galveston",86
109,Refresh Medispa,"2424 Mechanic Street, Galveston","{'lat': 29.305864, 'lng': -94.7961083}","Refresh Medispa2424 Mechanic Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
110,Serenity Dermatology,"1917 Broadway Avenue J, Galveston","{'lat': 29.300783, 'lng': -94.7879086}","Serenity Dermatology1917 Broadway Avenue J, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
111,Amy Lane,"2029 The Strand, Galveston","{'lat': 29.3076743, 'lng': -94.7919144}","Amy Lane2029 The Strand, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
112,Luna Lea Day Spa,"1802 Broadway Avenue J Suite 226, Galveston","{'lat': 29.3019038, 'lng': -94.7866785}","Luna Lea Day Spa1802 Broadway Avenue J Suite 226, Galveston","UTMB 17E113-191 11th Street, Galveston",86
113,Island Drip Spa,"2002 Avenue B Suite 102, Galveston","{'lat': 29.308193, 'lng': -94.7913787}","Island Drip Spa2002 Avenue B Suite 102, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
114,Q's Massage,"500 Seawall Boulevard Suite 200, Galveston","{'lat': 29.3060574, 'lng': -94.77218529999999}","Q's Massage500 Seawall Boulevard Suite 200, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
116,Galveston Visitor Center,"Chamber of Commerce, 2228 Mechanic Street, First Floor Lobby Inside the, Galveston","{'lat': 29.3064903, 'lng': -94.79389719999999}","Galveston Visitor CenterChamber of Commerce, 2228 Mechanic Street, First Floor Lobby Inside the, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
